Size,Sorter,IsValid,MaxSwaps,Depth,IsMinDepth
1,bitonic,yes,0,0,yes
1,merge,yes,0,0,yes
1,bubble,yes,0,0,yes
2,bitonic,yes,1,1,yes
2,merge,yes,1,1,yes
2,bubble,yes,1,1,yes
3,bitonic,yes,3,3,yes
3,merge,yes,3,3,yes
3,bubble,yes,3,3,yes
4,bitonic,yes,6,3,yes
4,merge,yes,5,3,yes
4,bubble,yes,6,5,no
5,bitonic,yes,9,5,yes
5,merge,yes,9,5,yes
5,bubble,yes,10,7,no
6,bitonic,yes,13,6,yes
6,merge,yes,12,6,yes
6,bubble,yes,15,9,no
7,bitonic,yes,18,6,yes
7,merge,yes,16,6,yes
7,bubble,yes,21,11,no
8,bitonic,yes,24,6,yes
8,merge,yes,19,6,yes
8,bubble,yes,28,13,no
9,bitonic,yes,28,8,yes
9,merge,yes,28,9,no
9,bubble,yes,36,15,no
10,bitonic,yes,33,9,yes
10,merge,yes,32,10,no
10,bubble,yes,45,17,no
11,bitonic,yes,39,10,yes
11,merge,yes,38,10,yes
11,bubble,yes,55,19,no
12,bitonic,yes,46,10,yes
12,merge,yes,42,10,yes
12,bubble,yes,66,21,no
13,bitonic,yes,53,10,yes
13,merge,yes,48,10,yes
13,bubble,yes,78,23,no
14,bitonic,yes,61,10,yes
14,merge,yes,53,10,yes
14,bubble,yes,91,25,no
15,bitonic,yes,70,10,yes
15,merge,yes,59,10,yes
15,bubble,yes,105,27,no
16,bitonic,yes,80,10,yes
16,merge,yes,63,10,yes
16,bubble,yes,120,29,no
